date,emotion_node,summary,trend
2026-01-29,发酵,涨停82、跌停11，结构偏首板主导，轮动明显,↑
2026-01-30,混沌/轮动,涨停45、跌停52，结构偏风险偏好偏弱，防守风格,↓
2026-02-02,混沌/轮动,涨停35、跌停96，结构偏风险偏好偏弱，防守风格,↓
2026-02-03,发酵,涨停67、跌停9，结构偏首板主导，轮动明显,↑
2026-02-04,发酵,涨停66、跌停5，结构偏首板主导，轮动明显,↑
2026-02-05,混沌/轮动,涨停44、跌停14，结构偏首板主导，轮动明显,↑
2026-02-06,混沌/轮动,涨停55、跌停5，结构偏首板主导，轮动明显,↑
2026-02-09,发酵,涨停80、跌停3，结构偏首板主导，轮动明显,↑
2026-02-10,混沌/轮动,涨停60、跌停2，结构偏首板主导，轮动明显,↑
2026-02-11,混沌/轮动,涨停50、跌停5，结构偏首板主导，轮动明显,↑
2026-02-12,混沌/轮动,涨停58、跌停13，结构偏首板主导，轮动明显,↑
2026-02-13,混沌/轮动,涨停32、跌停12，结构偏首板主导，轮动明显,↑
2026-02-24,发酵,涨停91、跌停15，结构偏首板主导，轮动明显,↑
2026-02-25,发酵,涨停73、跌停3，结构偏首板主导，轮动明显,↑
2026-02-26,混沌/轮动,涨停58、跌停3，结构偏首板主导，轮动明显,↑
2026-02-27,发酵,涨停72、跌停0，结构偏首板主导，轮动明显,↑
2026-03-02,发酵,涨停86、跌停8，结构偏首板主导，轮动明显,↑
2026-03-03,混沌/轮动,涨停76、跌停53，结构偏首板主导，轮动明显,↑
2026-03-04,混沌/轮动,涨停42、跌停11，结构偏首板主导，轮动明显,↑
2026-03-05,发酵,涨停65、跌停3，结构偏首板主导，轮动明显,↑
2026-03-06,发酵,涨停73、跌停0，结构偏首板主导，轮动明显,↑
2026-03-09,混沌/轮动,涨停39、跌停3，结构偏首板主导，轮动明显,↑
2026-03-11,混沌/轮动,涨停53、跌停2，结构偏首板主导，轮动明显,↑
2026-03-12,混沌/轮动,涨停51、跌停2，结构偏首板主导，轮动明显,↑
2026-03-13,混沌/轮动,涨停59、跌停13，结构偏首板主导，轮动明显,↑
2026-03-16,混沌/轮动,涨停44、跌停5，结构偏首板主导，轮动明显,↑
2026-03-17,混沌/轮动,涨停38、跌停9，结构偏首板主导，轮动明显,↑
2026-03-18,混沌/轮动,涨停56、跌停4，结构偏首板主导，轮动明显,↑
2026-03-19,混沌/轮动,涨停28、跌停5，结构偏首板主导，轮动明显,↑
2026-03-20,混沌/轮动,涨停28、跌停13，结构偏首板主导，轮动明显,↑
2026-03-23,退潮,涨停28、跌停70，结构偏风险偏好偏弱，防守风格,↓
2026-03-24,发酵,涨停82、跌停1，结构偏首板主导，轮动明显,↑
2026-03-25,发酵,涨停84、跌停1，结构偏首板主导，轮动明显,↑
2026-03-26,混沌/轮动,涨停39、跌停8，结构偏首板主导，轮动明显,↑
2026-03-27,发酵,涨停77、跌停2，结构偏首板主导，轮动明显,↑
2026-03-30,混沌/轮动,涨停60、跌停10，结构偏首板主导，轮动明显,↑
2026-03-31,混沌/轮动,涨停53、跌停1，结构偏首板主导，轮动明显,↑
2026-04-07,发酵,涨停92、跌停4，结构偏首板主导，轮动明显,↑
2026-04-08,发酵,涨停118、跌停4，结构偏首板主导，轮动明显,↑
2026-04-09,混沌/轮动,涨停53、跌停1，结构偏首板主导，轮动明显,↑
2026-04-10,混沌/轮动,涨停57、跌停8，结构偏首板主导，轮动明显,↑
2026-04-13,混沌/轮动,涨停55、跌停4，结构偏首板主导，轮动明显,↑
2026-04-14,混沌/轮动,涨停54、跌停4，结构偏首板主导，轮动明显,↑
2026-04-15,混沌/轮动,涨停55、跌停7，结构偏首板主导，轮动明显,↑
2026-04-16,发酵,涨停77、跌停1，结构偏首板主导，轮动明显,↑
2026-04-17,发酵,涨停65、跌停3，结构偏首板主导，轮动明显,↑
2026-04-20,发酵,涨停74、跌停6，结构偏首板主导，轮动明显,↑
2026-04-21,混沌/轮动,涨停0、跌停0，结构偏连板接力偏强,→
