ts_code,close,open,pct_chg
000062.SZ,28.31,28.35,4.7355
002051.SZ,11.53,11.53,10.0191
000990.SZ,10.04,9.6,-1.9531
002025.SZ,71.11,71.03,6.5797
002092.SZ,6.62,6.7,-4.7482
000912.SZ,5.17,5.19,-1.8975
000830.SZ,16.68,16.23,-1.1263
000890.SZ,15.87,15.85,-9.8807
000919.SZ,8.91,8.5,10.0
000695.SZ,13.01,12.9,0.8527
000652.SZ,4.22,4.2,0.4762
000766.SZ,21.51,22.07,2.3311
000019.SZ,7.98,7.78,1.7857
000703.SZ,14.83,14.16,4.7316
002109.SZ,4.3,4.21,-3.5874
002037.SZ,8.9,8.5,4.8292
002119.SZ,21.93,22.16,3.8844
002132.SZ,4.09,4.11,0.4914
002181.SZ,12.99,12.4,9.9915
002193.SZ,6.12,6.08,3.204
002274.SZ,6.4,6.29,-1.5385
002310.SZ,3.18,3.15,2.2508
002348.SZ,8.86,8.6,10.0621
002408.SZ,6.58,6.3,-0.6042
002427.SZ,6.34,6.3,1.7657
002431.SZ,2.83,2.85,2.1661
002442.SZ,6.22,6.17,3.3223
002470.SZ,2.98,2.94,-0.6667
002491.SZ,15.2,14.87,9.9855
002631.SZ,6.85,6.88,0.2928
002637.SZ,12.17,12.28,-0.8958
002663.SZ,2.43,2.27,9.9548
002788.SZ,18.13,19.25,-6.7387
002840.SZ,13.05,13.2,0.8501
002873.SZ,11.32,13.09,-4.8739
002957.SZ,37.05,35.33,10.0059
003042.SZ,17.96,18.26,-1.6429
600063.SH,7.16,6.99,-0.4172
600075.SH,6.4,6.5,-5.8824
600110.SH,9.82,9.79,1.973
600158.SH,11.9,11.8,0.2527
600195.SH,8.3,8.66,-3.9352
600227.SH,3.88,3.75,1.5707
600250.SH,13.5,13.36,-0.8082
600259.SH,91.63,91.56,5.3703
600370.SH,2.56,2.52,1.5873
600423.SH,3.61,3.68,0.0
600470.SH,7.03,6.9,-0.2837
600527.SH,2.58,2.5,3.2
600596.SH,11.9,11.77,3.4783
600623.SH,9.71,9.4,-0.7157
600664.SH,3.74,3.87,-3.3592
600691.SH,3.3,3.2,-1.1976
600722.SH,14.84,13.83,2.2039
600743.SH,2.19,2.04,10.0503
600791.SH,12.55,12.3,6.4461
600810.SH,8.57,8.75,-4.6719
600955.SH,18.44,17.83,1.8785
601133.SH,22.44,22.44,4.713
601388.SH,3.91,3.85,2.6247
603002.SH,11.01,10.74,3.1865
603042.SH,22.32,22.59,-2.1482
603255.SH,29.32,29.68,-0.2721
603637.SH,13.58,12.87,6.6771
603421.SH,8.83,8.91,-0.8979
603353.SH,40.98,38.55,1.2602
603348.SH,20.79,21.8,-3.1672
603327.SH,10.29,10.13,5.3224
603260.SH,43.42,44.0,0.9298
603090.SH,65.66,66.06,2.867
603188.SH,5.04,5.08,-1.7544
603687.SH,17.36,17.1,5.9829
603778.SH,32.03,31.53,1.5214
603968.SH,13.7,14.2,-3.4531
603988.SH,27.98,27.0,3.5529
605018.SH,11.99,12.35,0.0
605099.SH,42.49,41.15,3.2564
605162.SH,15.48,14.13,10.0213
605299.SH,21.66,23.0,-6.0711
