trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260408,000426.SZ,贵金属,兴业银锡,43.56,10.0,2388508560.0,,77327950011.84,77346693008.64,3.13,230707045.0,94018,94542,4,1/1,1,U
20260408,000506.SZ,贵金属,招金黄金,18.71,9.99,877206640.0,,17376107240.31,17381922289.6,5.17,66240884.0,112636,112636,0,1/1,1,U
20260408,000534.SZ,生物制品,万泽股份,39.33,10.01,249156940.0,,19663836461.28,20040542976.96,1.27,77142333.0,93045,93045,0,1/1,1,U
20260408,000551.SZ,环保设备,创元科技,13.94,10.02,156602607.0,,6754587995.88,6757178577.6,2.35,154529834.0,93754,93754,0,1/1,1,U
20260408,000727.SZ,光学光电,冠捷科技,2.82,10.16,581913200.0,,12773378883.6,12773378872.32,4.65,88195330.0,95103,95103,0,1/1,1,U
20260408,000811.SZ,通用设备,冰轮环境,18.43,10.03,538276560.0,,18031832400.83,18291369245.12,3.06,105590040.0,133412,133412,0,1/1,1,U
20260408,000889.SZ,通信服务,中嘉博创,3.59,10.12,108721843.0,,3122760336.84,3361285120.8,3.52,23143868.0,94103,94103,0,1/1,1,U
20260408,000892.SZ,影视院线,欢瑞世纪,6.68,10.05,528887360.0,,4748387512.72,6552949606.4,11.45,39713268.0,104503,104906,2,1/1,1,U
20260408,000917.SZ,电视广播,电广传媒,9.86,10.04,796777744.0,,13976149319.18,13977105472.96,5.83,20869676.0,105921,132003,1,1/1,1,U
20260408,000962.SZ,小金属,东方钽业,44.51,10.01,814909824.0,,22328831630.15,23477251721.6,3.74,101119687.0,131215,131215,0,1/1,1,U
20260408,000978.SZ,旅游及景,桂林旅游,8.05,9.97,344924816.0,,3768368012.5,3768446500.0,9.38,30656935.0,95512,110212,1,1/1,1,U
20260408,001267.SZ,基础建设,汇绿生态,44.3,10.01,2244574544.0,,26829965319.4,34782794969.6,8.63,60179335.0,135445,135445,0,1/1,1,U
20260408,001287.SZ,其他电子,中电港,25.26,10.02,832404848.0,,11048585019.48,19195076424.96,7.73,91241014.0,111200,111200,0,1/1,1,U
20260408,001337.SZ,贵金属,四川黄金,51.32,10.01,1000232624.0,,21554400000.0,21554400000.0,4.76,28169548.0,130745,131357,1,1/1,1,U
20260408,001389.SZ,元件,广合科技,125.62,10.0,1088752912.0,,19083805877.18,59348726817.6,5.86,147663295.0,103306,103306,0,1/1,1,U
20260408,002008.SZ,自动化设,大族激光,70.8,10.01,3990649520.0,,67736060686.8,72895921286.4,6.1,123829483.0,130518,131821,6,1/1,1,U
20260408,002042.SZ,纺织制造,华孚时尚,4.53,9.95,159727030.0,,7704086538.15,7704086560.8,2.1,63970934.0,93342,93342,0,1/1,1,U
20260408,002046.SZ,通用设备,国机精工,45.97,10.0,595152624.0,,24309080897.44,24648693282.56,2.5,58825004.0,102736,102736,0,1/1,1,U
20260408,002131.SZ,通用设备,利欧股份,7.95,9.96,3743049712.0,,46505304543.9,53835641587.2,8.23,436247958.0,95300,100036,1,1/1,1,U
20260408,002155.SZ,贵金属,湖南黄金,32.07,10.02,2968162384.0,,50109703941.99,50114227575.84,6.07,79385276.0,135503,135503,0,1/1,1,U
20260408,002188.SZ,房地产服务,中天服务,6.83,9.98,98280192.0,,1757789337.81,2234119445.76,5.74,25826279.0,130009,130009,0,1/1,1,U
20260408,002213.SZ,半导体,大为股份,29.55,10.01,632037424.0,,6103761832.2,7017679386.0,10.62,129003480.0,100903,100903,0,1/1,1,U
20260408,002217.SZ,光学光电,合力泰,2.46,9.82,897898608.0,,17907133081.86,18399321323.52,5.13,68636214.0,100930,102557,2,1/1,1,U
20260408,002273.SZ,光学光电,水晶光电,28.18,9.99,3375949024.0,,38387130045.72,39188016072.32,9.0,31681365.0,135100,140445,6,1/1,1,U
20260408,002342.SZ,通用设备,巨力索具,14.17,10.02,1756142688.0,,13527957300.0,13603200000.0,13.59,146370814.0,130039,130039,0,1/1,1,U
20260408,002353.SZ,专用设备,杰瑞股份,111.83,10.0,2785014640.0,,77525464218.7,114497798587.2,3.63,79119836.0,93039,101006,1,1/1,1,U
20260408,002361.SZ,塑料,神剑股份,16.78,10.03,2484530960.0,,13577083671.52,15958366897.28,18.83,221348906.0,94336,94733,1,5/9,1,U
20260408,002380.SZ,IT服务Ⅱ,科远智慧,33.19,10.01,155632095.0,,4704745229.1,7965322830.31,3.38,74103246.0,94518,94518,0,1/1,1,U
20260408,002384.SZ,元件,东山精密,119.91,10.0,2784781744.0,,166233837804.93,219628059641.76,1.68,1150556355.0,93000,93000,0,1/1,1,U
20260408,002400.SZ,广告营销,省广集团,8.76,10.05,1899793312.0,,15121202053.68,15271633311.36,12.81,89967801.0,103330,143433,1,1/1,1,U
20260408,002421.SZ,IT服务Ⅱ,达实智能,2.73,10.08,167432851.0,,5478270538.65,5789187855.36,3.13,61034337.0,94733,94733,0,1/1,1,U
20260408,002449.SZ,光学光电,国星光电,8.33,10.04,242471168.0,,5151914817.77,5151914809.44,4.83,70075975.0,103921,103921,0,1/1,1,U
20260408,002463.SZ,元件,沪电股份,84.07,10.0,8144604416.0,,161650677558.02,161781242471.52,5.18,181067612.0,130224,130721,2,1/1,1,U
20260408,002478.SZ,特钢Ⅱ,常宝股份,11.06,10.05,336867600.0,,7993326754.28,9962894717.44,4.22,41467258.0,93000,93448,2,1/1,1,U
20260408,002484.SZ,元件,江海股份,30.97,10.02,1265060704.0,,25410026047.05,26340726297.92,5.09,11545616.0,134609,145551,4,1/1,1,U
20260408,002536.SZ,汽车零部件,飞龙股份,30.51,9.99,823846016.0,,16609676798.25,17536717442.88,5.07,109803262.0,104057,104057,0,1/1,1,U
20260408,002606.SZ,电网设备,大连电瓷,11.9,9.98,300328816.0,,5011590454.5,5224971270.4,6.21,13335140.0,144527,144527,0,1/1,1,U
20260408,002634.SZ,服装家纺,棒杰股份,9.67,10.01,265621007.0,,4317795582.46,4441938791.04,6.35,44636720.0,110809,110809,0,1/1,1,U
20260408,002708.SZ,汽车零部件,光洋股份,12.79,9.97,250503862.0,,6608037287.29,7189233010.72,3.91,15263279.0,142103,142103,0,1/1,1,U
20260408,002716.SZ,贵金属,湖南白银,12.49,10.04,2605290160.0,,29037429332.7,35260377113.6,9.14,143820226.0,105027,130445,1,1/1,1,U
20260408,002797.SZ,证券Ⅱ,第一创业,7.76,10.07,3094975296.0,,32610624000.0,32610624000.0,9.69,112863015.0,132148,140109,2,1/1,1,U
20260408,002899.SZ,文娱用品,英派斯,31.96,10.02,239546660.0,,4723591352.96,4723591352.96,5.15,1294380.0,143227,145639,3,1/1,1,U
20260408,002902.SZ,通信设备,铭普光磁,29.37,10.0,1291527984.0,,5217059065.02,6902216150.94,24.99,267473294.0,92500,94027,1,1/1,1,U
20260408,002916.SZ,元件,深南电路,237.51,10.0,3613642896.0,,157898892469.5,161783877265.92,2.34,180335405.0,105433,112815,3,1/1,1,U
20260408,002921.SZ,汽车零部件,联诚精密,26.08,10.0,176598671.0,,3351322510.4,3885140912.16,5.44,74811627.0,130745,130745,0,1/1,1,U
20260408,002928.SZ,航空机场,华夏航空,8.58,10.0,150660205.0,,10967257801.5,10967312516.16,1.38,127508667.0,93000,93000,0,1/1,1,U
20260408,002929.SZ,通信服务,润建股份,52.16,10.0,1285802512.0,,10982848354.88,14817773870.08,11.99,63776032.0,130121,133145,9,1/1,1,U
20260408,002975.SZ,自动化设,博杰股份,79.0,10.0,806382304.0,,8362859420.0,12663904847.0,9.88,56777300.0,110203,112054,6,1/1,1,U
20260408,002995.SZ,广告营销,天地在线,24.76,10.0,475486544.0,,2783450070.08,4393772924.8,17.64,94508845.0,102348,102348,0,1/1,1,U
20260408,003041.SZ,服装家纺,真爱美家,53.33,10.0,308021424.0,,7296791922.0,7679520000.0,4.31,7156886.0,105636,142424,2,1/1,1,U
20260408,600105.SH,通信设备,永鼎股份,33.23,10.0,5002986752.0,,48582087270.46,48582087204.0,10.51,223133800.0,133518,133518,0,1/1,1,U
20260408,600114.SH,通用设备,东睦股份,30.04,10.0,692502672.0,,18516159649.08,18966759498.88,3.83,25471336.0,132115,141530,12,1/1,1,U
20260408,600115.SH,航空机场,中国东航,4.66,9.91,1087363888.0,,79336336401.38,102928852444.16,1.38,28104012.0,93307,103316,6,1/1,1,U
20260408,600126.SH,普钢,杭钢股份,9.31,10.05,543161328.0,,31441630362.73,31441630409.28,1.73,271564218.0,92502,92502,0,1/1,1,U
