ts_code,prev_5d,prev_10d,high20,high60
000026.SZ,13.95833333333334,14.435146443514647,16.41,17.67
002240.SZ,15.05514234419081,6.227800142079087,44.86,46.18
000968.SZ,-0.7797270955165692,-12.013828867761456,12.18,12.18
002297.SZ,13.320825515947465,11.851851851851848,12.08,14.66
002080.SZ,26.233635448136972,25.099800399201612,50.14,53.57
000612.SZ,18.71704745166958,15.568862275449113,14.45,15.6
000791.SZ,11.420612813370479,-7.084785133565619,9.33,9.33
001203.SZ,7.237999497361147,-0.4433037797480166,44.8,44.8
002321.SZ,11.274509803921573,4.608294930875578,2.46,2.6
000688.SZ,12.76861569215393,6.338360037700297,45.13,45.13
000010.SZ,12.228260869565212,-1.9002375296912177,4.94,4.94
002124.SZ,12.608695652173907,7.916666666666661,2.66,2.78
002439.SZ,12.816455696202533,9.43975441289333,14.79,16.95
002436.SZ,28.396946564885518,21.884057971014492,25.23,27.34
002515.SZ,15.98513011152416,7.772020725388606,6.24,6.65
002467.SZ,11.315417256011306,7.366984993178716,7.87,8.0
002678.SZ,-4.448105436573324,10.2661596958175,6.2,6.39
002876.SZ,18.146718146718154,21.62162162162162,30.6,30.6
002902.SZ,14.370370370370367,10.52254831782391,30.88,30.88
002929.SZ,20.694768057614898,18.093264248704656,56.98,56.98
002943.SZ,14.649966450458507,9.273076103176292,54.97,88.95
002957.SZ,35.07511430437622,55.898982284206554,41.36,41.36
002980.SZ,26.513343458450844,46.50753768844223,58.31,58.31
003018.SZ,21.79883281840027,27.71778257739379,35.48,35.48
600032.SH,9.507829977628624,-16.39624252775407,14.1,14.1
600152.SH,13.909378292939945,3.74280230326296,11.81,11.81
600166.SH,22.33333333333334,28.321678321678334,3.67,3.67
600299.SH,8.196721311475418,9.13012221423437,16.48,16.48
600176.SH,23.737957610789984,28.49139655862345,32.11,32.11
600337.SH,34.728033472803354,20.149253731343286,3.22,4.27
600396.SH,3.1073446327683607,-18.798665183537267,9.49,9.49
600654.SH,23.351648351648358,34.43113772455091,4.84,4.84
600527.SH,23.788546255506617,7.25190839694656,2.81,2.81
600773.SH,9.81281905842315,-1.7258883248730927,20.18,20.18
600815.SH,16.57142857142857,-4.0000000000000036,4.72,4.72
600982.SH,11.560693641618492,-21.224489795918366,7.4,7.4
601908.SH,1.5555555555555545,-5.578512396694202,5.35,5.35
603177.SH,18.048780487804873,6.420404573438887,12.37,13.4
603256.SH,31.323529411764707,36.169563891430315,89.3,89.3
603283.SH,21.59884420900553,17.169373549883993,50.5,57.69
603350.SH,11.098164870375783,10.294968189705035,38.14,40.67
603682.SH,13.58428805237315,4.360902255639099,7.38,8.73
603738.SH,11.533888228299638,7.44558991981672,28.14,28.14
603800.SH,26.303317535545023,26.170436612309288,47.97,53.7
603803.SH,15.518546555639666,11.143481427530944,16.0,16.0
603897.SH,20.738552437223024,36.68896321070234,40.87,40.87
000402.SZ,24.390243902439025,18.604651162790688,3.06,3.06
001299.SZ,28.33206397562833,23.624358033749093,16.85,16.85
002418.SZ,37.88546255506606,33.760683760683776,6.26,6.26
605255.SH,25.899358765351586,12.302472127968977,124.43,218.02
002364.SZ,41.709464416727805,37.131700390486344,38.63,38.63
002580.SZ,35.849056603773576,28.33435771358328,20.88,20.88
