ts_code,circ_mv_yi,prev_close
000070.SZ,184.57859756,20.77
002209.SZ,25.7916323,16.5
002008.SZ,829.192709,86.67
001268.SZ,19.72330688,31.34
002062.SZ,90.53842728000001,8.05
000593.SZ,65.70996488,18.33
001203.SZ,605.8413952,46.39
000782.SZ,30.6849121,5.81
000571.SZ,46.31616187,5.69
000546.SZ,49.32672858,7.08
000657.SZ,754.0682525000001,51.9
000762.SZ,193.26910934,37.11
000570.SZ,37.45367497,6.74
001230.SZ,21.77579804,27.72
000815.SZ,154.41792006999998,22.21
000967.SZ,413.72105155,13.07
002237.SZ,196.85797692,16.51
002213.SZ,79.19398601,38.34
002333.SZ,42.58995469,6.39
002263.SZ,97.11044167,5.17
002421.SZ,58.19408265,2.9
002491.SZ,183.76443765,15.62
002595.SZ,707.23542606,89.02
002613.SZ,32.203097629999995,4.17
002726.SZ,39.03596914,3.62
002757.SZ,64.2800886,22.79
002771.SZ,32.05834212,18.37
002802.SZ,22.25789288,14.87
002850.SZ,409.28605969,205.59
002875.SZ,38.29343436,20.99
002859.SZ,188.05317719,46.33
002929.SZ,137.4751091,65.29
003041.SZ,79.31652498,57.97
002940.SZ,65.95806625,35.6
600156.SH,33.85772111,8.42
600507.SH,139.94786735,6.05
600549.SH,961.57310922,61.88
600284.SH,72.7692,7.5
600719.SH,29.657150679999997,7.33
600666.SH,171.40436241999998,6.85
600749.SH,45.23422754,19.93
600847.SH,22.42594662,14.63
600768.SH,23.43250944,17.52
600875.SH,951.51931654,42.04
601778.SH,237.93447668,6.66
603032.SH,51.31336336,22.15
600961.SH,150.96392952,20.08
603052.SH,142.36977057000001,75.77
603315.SH,53.94967886,16.84
603220.SH,138.65956093,31.93
603322.SH,57.14097223,36.26
603826.SH,223.81632000000002,34.16
603878.SH,46.4061236,8.27
603897.SH,104.45645459,50.6
603920.SH,424.14063778999997,58.86
603985.SH,108.18655394,24.54
603933.SH,51.78237146,24.95
605060.SH,140.85536580000002,58.95
605166.SH,35.02975396,11.13
605287.SH,65.772,46.98
605336.SH,28.70404843,15.65
002033.SZ,60.05818378,10.93
002468.SZ,264.53615386999996,18.03
600683.SH,80.74475807,10.9
603687.SH,109.12632182,19.84
605388.SH,48.3990104,8.06
002990.SZ,62.90191753999999,46.32
603906.SH,141.5522652,25.05
